Symptom,Physical Therapy
Lower back pain,Partial curl-ups
Neck pain,Neck stretches
Shoulder pain,Shoulder blade squeeze
Knee pain,Hamstring stretch
Ankle sprain,Ankle circles
Elbow pain,Wrist curls
Hip pain,Hip flexor stretch
Frozen shoulder,Shoulder pendulum
Plantar fasciitis,Heel cord stretch
Carpal tunnel syndrome,Median nerve gliding
Sciatica,Piriformis stretch
Scoliosis,Spinal extension exercises
Herniated disk,Partial curl-ups
Shin splints,Toe raises
Tennis elbow,Wrist extensor stretch
Achilles tendinitis,Calf stretch
Rotator cuff tear,Shoulder external rotation
IT band syndrome,IT band stretch
Bursitis,Hip external rotation
Osteoarthritis,Knee extension
Rheumatoid arthritis,Finger stretch
Cervical spondylosis,Neck isometrics
Whiplash,Neck rotation stretch
Torn meniscus,Leg press
Patellar tendinitis,Straight leg raises
Sprained ankle,Ankle pumps
Bulging disk,Partial curl-ups
Spondylolisthesis,Hamstring stretch
Fibromyalgia,Pelvic tilt
Hernia,Pelvic floor exercises
Plantar warts,Toe raises
Golfer's elbow,Wrist flexor stretch
Baker's cyst,Knee flexion
Trigger finger,Finger ladder
Cubital tunnel syndrome,Ulnar nerve gliding
Thoracic outlet syndrome,Shoulder blade squeezes
Repetitive strain injury,Finger tapping
Muscle strain,Active range of motion exercises
Rotator cuff tendinitis,Internal rotation stretch
Labral tear,Shoulder blade squeezes
Metatarsalgia,Toe stretch
Lumbar radiculopathy,Sciatic nerve gliding
Coccydynia,Tailbone exercises
Osgood-Schlatter disease,Quad stretch
Torticollis,Neck rotation stretch
Meniscal tear,Quad sets
Spondylosis,Thoracic extension exercises
Bunions,Big toe stretch
Osteoporosis,Weight-bearing exercises
Ankylosing spondylitis,Back extension exercises
Heel spurs,Heel cord stretch
Hip bursitis,Clamshell exercise
Patellofemoral pain syndrome,Quad sets
Tendinitis,Ice and rest
Cervical radiculopathy,Scalene stretch
Piriformis syndrome,Seated hip stretch
Muscle spasm,Heat and gentle stretching
Facet joint syndrome,Lower back stretches
Torn rotator cuff,Shoulder blade squeezes
Biceps tendinitis,Bicep curl
Lumbar strain,Pelvic tilt
Degenerative disk disease,Partial curl-ups
Spinal stenosis,Hamstring stretch
Kyphosis,Thoracic extension exercises
Hyperlordosis,Pelvic tilt
Tennis elbow,Wrist extensor stretch
Achilles tendinitis,Calf stretch
Rotator cuff tear,Shoulder external rotation
IT band syndrome,IT band stretch
